City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.75,-68.51,10.4,66,40,17.22,CA,1607900752
1,Clyde River,70.47,-68.59,-2.2,70,90,6.93,CA,1607900759
2,São João da Barra,-21.64,-41.05,75.97,83,97,20.51,BR,1607900759
3,Anadyr,64.75,177.48,23.0,79,75,13.42,RU,1607900759
4,Upernavik,72.79,-56.15,24.51,98,100,1.54,GL,1607900752
5,Kuching,1.55,110.33,73.4,100,20,2.24,MY,1607900759
6,Gari,59.43,62.35,16.48,89,35,10.13,RU,1607900759
7,Gāndhīdhām,23.08,70.13,65.75,40,0,12.08,IN,1607900759
8,Saravena,6.95,-71.88,75.63,64,73,1.12,CO,1607900759
9,Ribeira Grande,38.52,-28.7,57.63,68,56,22.44,PT,1607900729
10,Saint Paul Harbor,57.79,-152.41,42.8,93,90,18.34,US,1607900759
11,Puerto Ayora,-0.74,-90.35,82.4,58,0,10.29,EC,1607900760
12,Saskylakh,71.92,114.08,-23.17,83,100,17.6,RU,1607900724
13,Guerrero Negro,27.98,-114.06,71.33,21,0,19.04,MX,1607900760
14,Chunskiy,56.08,99.63,11.35,95,100,5.77,RU,1607900760
15,Ola,59.58,151.28,-8.82,86,95,15.39,RU,1607900760
16,Gīdolē,5.65,37.37,58.21,52,31,2.46,ET,1607900760
17,Rikitea,-23.12,-134.97,76.28,70,42,5.1,PF,1607900760
18,Kapaa,22.08,-159.32,82.4,65,1,6.93,US,1607900760
19,Bathsheba,13.22,-59.52,80.6,78,40,9.17,BB,1607900761
20,Port Blair,11.67,92.75,77.14,77,68,7.67,IN,1607900761
21,George Town,5.41,100.34,78.8,94,20,2.24,MY,1607900698
22,Hong Kong,22.29,114.16,70.0,80,86,1.99,HK,1607900502
23,Hermanus,-34.42,19.23,57.0,92,19,7.49,ZA,1607900746
24,Turukhansk,65.82,87.98,4.51,94,100,12.88,RU,1607900761
25,Ushuaia,-54.8,-68.3,48.2,45,40,17.22,AR,1607900520
26,Moose Factory,51.26,-80.61,12.2,85,90,8.05,CA,1607900761
27,Sechura,-5.56,-80.82,73.87,64,39,17.69,PE,1607900761
28,Rāisinghnagar,29.54,73.45,49.96,72,0,3.13,IN,1607900761
29,Māngrol,21.12,70.12,67.03,48,62,14.45,IN,1607900762
30,Severnyy,50.68,36.55,26.6,92,90,13.42,RU,1607900762
31,Yellowknife,62.46,-114.35,-25.01,67,20,6.93,CA,1607900468
32,Jamestown,42.1,-79.24,33.01,92,90,8.05,US,1607900741
33,Pacific Grove,36.62,-121.92,59.0,82,90,6.93,US,1607900647
34,Kingman,35.19,-114.05,55.0,13,1,0.76,US,1607900479
35,Cherskiy,68.75,161.3,-17.48,88,100,4.36,RU,1607900763
36,Albany,42.6,-73.97,42.01,65,100,7.96,US,1607900741
37,Saint-Augustin,51.23,-58.65,19.71,94,100,18.41,CA,1607900763
38,Makakilo City,21.35,-158.09,82.4,65,1,8.05,US,1607900763
39,Mataura,-46.19,168.86,57.0,72,89,13.0,NZ,1607900763
40,Bandarbeyla,9.49,50.81,72.9,68,0,16.49,SO,1607900763
41,Saint George,37.1,-113.58,46.0,32,1,5.17,US,1607900758
42,Port Elizabeth,-33.92,25.57,66.2,93,0,2.24,ZA,1607900763
43,Karpinsk,59.77,60.01,19.63,82,99,14.07,RU,1607900763
44,Tabou,4.42,-7.35,78.51,86,80,6.35,CI,1607900764
45,Port Macquarie,-31.43,152.92,69.01,99,100,1.01,AU,1607900499
